state,x,y
Abia,-60,-200
Abuja,-87,-10
Adamawa,202,49
Akwa Ibom,-41,-247
Anambra,-94,-174
Bauchi,58,87
Bayelsa,-145,-257
Benue,3,-97
Borno,245,192
Cross Rivers,-3,-202
Delta,-164,-210
Ebonyi,-34,-160
Edo,-164,-161
Ekiti,-185,-82
Enugu,-69,-140
Gombe,128,102
Imo,-90,-207
Jigawa,33,200
Kaduna,-51,83
Kano,-15,170
Katsina,-70,214
Kebbi,-253,132
Kogi,-112,-80
Kwara,-214,-27
Lagos,-292,-154
Nassarawa,-31,-31
Niger,-176,42
Ogun,-293,-123
Ondo,-211,-139
Osun,-230,-96
Oyo,-279,-55
Plateau,50,8
Rivers,-98,-251
Sokoto,-201,255
Taraba,107,-58
Yobe,152,209
Zamfara,-149,182
